[*] Running ACS optimization...
[*] Training with 30 students
[*] Trial 0: 15683.75
[*] Trial 1: 15683.75
[*] Trial 2: 15683.75
[*] Trial 3: 15683.75
[*] Trial 4: 14680.75
[*] Trial 5: 4689.0625
[*] Trial 6: 4689.0625
[*] Trial 7: 3681.0
[*] Trial 8: 3679.6875
[*] Trial 9: 2681.6875
[*] Trial 10: 1677.75
[*] Trial 11: 1676.125
[*] Trial 12: 1674.375
[*] Trial 13: 1669.5
[*] Trial 14: 671.0
[*] Trial 15: 671.0
[*] Trial 16: 671.0
[*] Trial 17: 657.3125
[*] Trial 18: 657.3125
[*] Trial 19: 657.1875
[*] Trial 20: 656.875
[*] Trial 21: 656.0
[*] Trial 22: 655.6875
[*] Trial 23: 655.6875
[*] Trial 24: 654.0625
[*] Trial 25: 653.875
[*] Trial 26: 653.875
[*] Trial 27: 653.875
[*] Trial 28: 653.875
[*] Trial 29: 653.875
[*] Trial 30: 653.875
[*] Trial 31: 653.875
[*] Trial 32: 653.875
[*] Trial 33: 653.875
[*] Trial 34: 653.875
[*] Trial 35: 653.875
[*] Trial 36: 653.875
[*] Trial 37: 653.875
[*] Trial 38: 653.875
[*] Trial 39: 653.875
[*] Trial 40: 653.875
[*] Trial 41: 653.875
[*] Trial 42: 653.875
[*] Trial 43: 653.875
[*] Trial 44: 653.875
[*] Trial 45: 653.875
[*] Trial 46: 653.875
[*] Trial 47: 653.875
[*] Trial 48: 653.875
[*] Trial 49: 653.875
[*] min objective value:
653.875
