[*] Running ACS optimization...
[*] Training with 30 students
[*] Trial 0: 16661.5625
[*] Trial 1: 15661.375
[*] Trial 2: 13645.375
[*] Trial 3: 13645.375
[*] Trial 4: 13645.375
[*] Trial 5: 11635.25
[*] Trial 6: 11635.25
[*] Trial 7: 11635.25
[*] Trial 8: 2684.75
[*] Trial 9: 2684.75
[*] Trial 10: 2684.75
[*] Trial 11: 2684.75
[*] Trial 12: 2684.75
[*] Trial 13: 2684.75
[*] Trial 14: 2684.75
[*] Trial 15: 2684.75
[*] Trial 16: 2684.75
[*] Trial 17: 2684.75
[*] Trial 18: 2684.75
[*] Trial 19: 2684.75
[*] Trial 20: 2684.75
[*] Trial 21: 2684.75
[*] Trial 22: 2684.75
[*] Trial 23: 2684.75
[*] Trial 24: 2684.75
[*] Trial 25: 2684.75
[*] Trial 26: 2684.75
[*] Trial 27: 2684.75
[*] Trial 28: 2684.75
[*] Trial 29: 2676.6875
[*] Trial 30: 2668.9375
[*] Trial 31: 2668.9375
[*] Trial 32: 2662.75
[*] Trial 33: 2662.75
[*] Trial 34: 2662.75
[*] Trial 35: 2662.75
[*] Trial 36: 2662.75
[*] Trial 37: 2662.75
[*] Trial 38: 2662.75
[*] Trial 39: 2662.75
[*] Trial 40: 2662.75
[*] Trial 41: 2662.75
[*] Trial 42: 2662.75
[*] Trial 43: 2662.75
[*] Trial 44: 2662.75
[*] Trial 45: 1641.9375
[*] Trial 46: 1641.9375
[*] Trial 47: 1641.9375
[*] Trial 48: 1641.9375
[*] Trial 49: 1641.9375
[*] min objective value:
1641.9375
