[*] Running ACS optimization...
[*] Training with 30 students
[*] Trial 0: 14660.1875
[*] Trial 1: 14660.1875
[*] Trial 2: 4658.9375
[*] Trial 3: 4658.9375
[*] Trial 4: 4658.9375
[*] Trial 5: 4658.9375
[*] Trial 6: 4658.9375
[*] Trial 7: 4658.9375
[*] Trial 8: 4658.9375
[*] Trial 9: 4658.9375
[*] Trial 10: 4658.9375
[*] Trial 11: 4658.9375
[*] Trial 12: 4658.9375
[*] Trial 13: 4658.9375
[*] Trial 14: 4658.9375
[*] Trial 15: 4658.9375
[*] Trial 16: 4658.9375
[*] Trial 17: 3676.25
[*] Trial 18: 3676.25
[*] Trial 19: 3676.25
[*] Trial 20: 3676.25
[*] Trial 21: 3676.25
[*] Trial 22: 3676.25
[*] Trial 23: 3676.25
[*] Trial 24: 3675.6875
[*] Trial 25: 3675.6875
[*] Trial 26: 3675.6875
[*] Trial 27: 2657.75
[*] Trial 28: 1648.75
[*] Trial 29: 647.125
[*] Trial 30: 646.0625
[*] Trial 31: 646.0625
[*] Trial 32: 645.1875
[*] Trial 33: 642.125
[*] Trial 34: 634.375
[*] Trial 35: 634.375
[*] Trial 36: 631.75
[*] Trial 37: 631.75
[*] Trial 38: 631.75
[*] Trial 39: 631.75
[*] Trial 40: 631.75
[*] Trial 41: 631.75
[*] Trial 42: 631.75
[*] Trial 43: 631.75
[*] Trial 44: 631.75
[*] Trial 45: 631.75
[*] Trial 46: 631.75
[*] Trial 47: 621.625
[*] Trial 48: 620.0625
[*] Trial 49: 616.25
[*] min objective value:
616.25
