[*] Running ACS optimization...
[*] Training with 30 students
[*] Trial 0: 4653.0
[*] Trial 1: 4645.0
[*] Trial 2: 4645.0
[*] Trial 3: 4645.0
[*] Trial 4: 4645.0
[*] Trial 5: 4645.0
[*] Trial 6: 4644.875
[*] Trial 7: 4641.625
[*] Trial 8: 4641.625
[*] Trial 9: 4641.625
[*] Trial 10: 4641.625
[*] Trial 11: 4641.625
[*] Trial 12: 4641.625
[*] Trial 13: 4641.625
[*] Trial 14: 4640.6875
[*] Trial 15: 4640.6875
[*] Trial 16: 4640.6875
[*] Trial 17: 4640.6875
[*] Trial 18: 4639.0
[*] Trial 19: 4639.0
[*] Trial 20: 4639.0
[*] Trial 21: 4639.0
[*] Trial 22: 4639.0
[*] Trial 23: 4639.0
[*] Trial 24: 4639.0
[*] Trial 25: 4639.0
[*] Trial 26: 4639.0
[*] Trial 27: 4639.0
[*] Trial 28: 4639.0
[*] Trial 29: 4639.0
[*] Trial 30: 4638.5
[*] Trial 31: 4637.75
[*] Trial 32: 4637.625
[*] Trial 33: 4637.625
[*] Trial 34: 4637.125
[*] Trial 35: 4637.125
[*] Trial 36: 4637.125
[*] Trial 37: 4637.125
[*] Trial 38: 4637.125
[*] Trial 39: 4637.125
[*] Trial 40: 4637.125
[*] Trial 41: 4637.125
[*] Trial 42: 4637.125
[*] Trial 43: 4637.125
[*] Trial 44: 4637.125
[*] Trial 45: 4637.125
[*] Trial 46: 4637.125
[*] Trial 47: 4637.125
[*] Trial 48: 4637.0625
[*] Trial 49: 4637.0625
[*] min objective value:
4637.0625
