[*] Running ACS optimization...
[*] Training with 30 students
[*] Trial 0: 7663.4375
[*] Trial 1: 4659.5625
[*] Trial 2: 4659.5625
[*] Trial 3: 1629.75
[*] Trial 4: 1629.75
[*] Trial 5: 1629.75
[*] Trial 6: 1629.75
[*] Trial 7: 1629.75
[*] Trial 8: 1629.75
[*] Trial 9: 1629.75
[*] Trial 10: 1629.75
[*] Trial 11: 1628.5625
[*] Trial 12: 1628.5625
[*] Trial 13: 1628.5625
[*] Trial 14: 1628.5625
[*] Trial 15: 1628.5625
[*] Trial 16: 1628.5625
[*] Trial 17: 1628.5625
[*] Trial 18: 628.4375
[*] Trial 19: 628.4375
[*] Trial 20: 628.4375
[*] Trial 21: 628.4375
[*] Trial 22: 628.4375
[*] Trial 23: 628.4375
[*] Trial 24: 628.4375
[*] Trial 25: 628.4375
[*] Trial 26: 628.4375
[*] Trial 27: 628.4375
[*] Trial 28: 628.4375
[*] Trial 29: 628.4375
[*] Trial 30: 628.4375
[*] Trial 31: 628.4375
[*] Trial 32: 628.4375
[*] Trial 33: 621.3125
[*] Trial 34: 616.125
[*] Trial 35: 616.125
[*] Trial 36: 615.6875
[*] Trial 37: 615.6875
[*] Trial 38: 615.6875
[*] Trial 39: 615.6875
[*] Trial 40: 615.6875
[*] Trial 41: 615.6875
[*] Trial 42: 615.6875
[*] Trial 43: 615.6875
[*] Trial 44: 615.6875
[*] Trial 45: 615.6875
[*] Trial 46: 615.6875
[*] Trial 47: 615.6875
[*] Trial 48: 615.6875
[*] Trial 49: 615.6875
[*] min objective value:
615.6875
