[*] Running ACS optimization...
[*] Training with 30 students
[*] Trial 0: 25671.75
[*] Trial 1: 3657.3125
[*] Trial 2: 3657.3125
[*] Trial 3: 3657.3125
[*] Trial 4: 3657.3125
[*] Trial 5: 3657.3125
[*] Trial 6: 3657.3125
[*] Trial 7: 3657.3125
[*] Trial 8: 3657.3125
[*] Trial 9: 3657.3125
[*] Trial 10: 3657.3125
[*] Trial 11: 3657.3125
[*] Trial 12: 3657.3125
[*] Trial 13: 3657.3125
[*] Trial 14: 3657.3125
[*] Trial 15: 3657.3125
[*] Trial 16: 3657.3125
[*] Trial 17: 3657.3125
[*] Trial 18: 3657.3125
[*] Trial 19: 3657.3125
[*] Trial 20: 3657.3125
[*] Trial 21: 3657.3125
[*] Trial 22: 3657.3125
[*] Trial 23: 3657.3125
[*] Trial 24: 3657.3125
[*] Trial 25: 3657.3125
[*] Trial 26: 3657.3125
[*] Trial 27: 3657.3125
[*] Trial 28: 3657.3125
[*] Trial 29: 3657.3125
[*] Trial 30: 3657.3125
[*] Trial 31: 3657.3125
[*] Trial 32: 3657.3125
[*] Trial 33: 3657.3125
[*] Trial 34: 3657.3125
[*] Trial 35: 3657.3125
[*] Trial 36: 3657.3125
[*] Trial 37: 3657.3125
[*] Trial 38: 3657.3125
[*] Trial 39: 3657.3125
[*] Trial 40: 3657.3125
[*] Trial 41: 3657.3125
[*] Trial 42: 3657.3125
[*] Trial 43: 3657.3125
[*] Trial 44: 3657.3125
[*] Trial 45: 3657.3125
[*] Trial 46: 3657.3125
[*] Trial 47: 3657.3125
[*] Trial 48: 3657.3125
[*] Trial 49: 3657.3125
[*] min objective value:
3657.3125
