[*] Running ACS optimization...
[*] Training with 30 students
[*] Trial 0: 6675.75
[*] Trial 1: 6675.75
[*] Trial 2: 6675.75
[*] Trial 3: 6675.75
[*] Trial 4: 6675.75
[*] Trial 5: 6675.75
[*] Trial 6: 6675.75
[*] Trial 7: 6675.75
[*] Trial 8: 3674.8125
[*] Trial 9: 3672.875
[*] Trial 10: 2669.1875
[*] Trial 11: 2669.1875
[*] Trial 12: 2669.1875
[*] Trial 13: 2669.1875
[*] Trial 14: 2669.1875
[*] Trial 15: 2669.1875
[*] Trial 16: 2669.1875
[*] Trial 17: 2669.1875
[*] Trial 18: 2669.1875
[*] Trial 19: 2669.1875
[*] Trial 20: 2669.1875
[*] Trial 21: 2669.1875
[*] Trial 22: 2669.1875
[*] Trial 23: 2669.1875
[*] Trial 24: 2669.1875
[*] Trial 25: 2669.1875
[*] Trial 26: 2669.1875
[*] Trial 27: 2669.1875
[*] Trial 28: 2669.1875
[*] Trial 29: 2669.1875
[*] Trial 30: 2669.1875
[*] Trial 31: 2669.1875
[*] Trial 32: 2669.1875
[*] Trial 33: 2669.1875
[*] Trial 34: 2669.1875
[*] Trial 35: 2669.1875
[*] Trial 36: 2669.1875
[*] Trial 37: 2668.4375
[*] Trial 38: 2666.125
[*] Trial 39: 1653.6875
[*] Trial 40: 1645.875
[*] Trial 41: 1630.25
[*] Trial 42: 1630.25
[*] Trial 43: 1630.25
[*] Trial 44: 1620.1875
[*] Trial 45: 1620.1875
[*] Trial 46: 1618.8125
[*] Trial 47: 1618.8125
[*] Trial 48: 1618.8125
[*] Trial 49: 1615.625
[*] min objective value:
1615.625
