[*] Running ACS optimization...
[*] Training with 30 students
[*] Trial 0: 14667.875
[*] Trial 1: 13654.625
[*] Trial 2: 13654.625
[*] Trial 3: 4689.0
[*] Trial 4: 4689.0
[*] Trial 5: 4689.0
[*] Trial 6: 4689.0
[*] Trial 7: 4689.0
[*] Trial 8: 4689.0
[*] Trial 9: 4689.0
[*] Trial 10: 4689.0
[*] Trial 11: 4667.5
[*] Trial 12: 4667.5
[*] Trial 13: 4667.5
[*] Trial 14: 4646.5625
[*] Trial 15: 4646.5625
[*] Trial 16: 4646.5625
[*] Trial 17: 2637.125
[*] Trial 18: 2637.125
[*] Trial 19: 2637.125
[*] Trial 20: 2637.125
[*] Trial 21: 2637.125
[*] Trial 22: 2637.125
[*] Trial 23: 2637.125
[*] Trial 24: 2637.125
[*] Trial 25: 2637.125
[*] Trial 26: 2637.125
[*] Trial 27: 2637.125
[*] Trial 28: 2637.125
[*] Trial 29: 2637.125
[*] Trial 30: 2637.125
[*] Trial 31: 2637.125
[*] Trial 32: 2637.125
[*] Trial 33: 2637.125
[*] Trial 34: 2637.125
[*] Trial 35: 2637.125
[*] Trial 36: 2637.125
[*] Trial 37: 2637.125
[*] Trial 38: 2612.25
[*] Trial 39: 2612.25
[*] Trial 40: 2612.25
[*] Trial 41: 2612.25
[*] Trial 42: 2609.6875
[*] Trial 43: 2609.6875
[*] Trial 44: 1603.375
[*] Trial 45: 1601.6875
[*] Trial 46: 608.6875
[*] Trial 47: 591.0
[*] Trial 48: 590.6875
[*] Trial 49: 587.0
[*] min objective value:
587.0
