[*] Running ACS optimization...
[*] Training with 30 students
[*] Trial 0: 13674.375
[*] Trial 1: 13674.375
[*] Trial 2: 13674.375
[*] Trial 3: 6680.3125
[*] Trial 4: 2671.4375
[*] Trial 5: 2671.4375
[*] Trial 6: 2671.4375
[*] Trial 7: 2671.4375
[*] Trial 8: 2671.4375
[*] Trial 9: 2671.4375
[*] Trial 10: 2671.4375
[*] Trial 11: 2669.1875
[*] Trial 12: 2665.4375
[*] Trial 13: 2665.4375
[*] Trial 14: 2664.0
[*] Trial 15: 2662.4375
[*] Trial 16: 2661.5
[*] Trial 17: 2661.5
[*] Trial 18: 2661.5
[*] Trial 19: 2661.5
[*] Trial 20: 2660.375
[*] Trial 21: 2660.375
[*] Trial 22: 2660.375
[*] Trial 23: 2660.375
[*] Trial 24: 2660.375
[*] Trial 25: 2660.375
[*] Trial 26: 2660.375
[*] Trial 27: 2660.375
[*] Trial 28: 2660.375
[*] Trial 29: 2660.375
[*] Trial 30: 2660.375
[*] Trial 31: 2660.375
[*] Trial 32: 2660.375
[*] Trial 33: 2660.375
[*] Trial 34: 2660.375
[*] Trial 35: 2660.375
[*] Trial 36: 2660.375
[*] Trial 37: 2660.375
[*] Trial 38: 2660.375
[*] Trial 39: 2660.375
[*] Trial 40: 2660.375
[*] Trial 41: 2660.375
[*] Trial 42: 2660.375
[*] Trial 43: 2660.375
[*] Trial 44: 2660.375
[*] Trial 45: 2660.375
[*] Trial 46: 2660.375
[*] Trial 47: 2660.375
[*] Trial 48: 2660.375
[*] Trial 49: 2660.375
[*] min objective value:
2660.375
