[*] Running ACS optimization...
[*] Training with 30 students
[*] Trial 0: 16676.75
[*] Trial 1: 6687.75
[*] Trial 2: 6687.75
[*] Trial 3: 6687.75
[*] Trial 4: 6687.75
[*] Trial 5: 6687.75
[*] Trial 6: 6687.75
[*] Trial 7: 6687.75
[*] Trial 8: 6687.75
[*] Trial 9: 4684.5
[*] Trial 10: 4684.5
[*] Trial 11: 4684.5
[*] Trial 12: 4677.25
[*] Trial 13: 4677.25
[*] Trial 14: 4677.25
[*] Trial 15: 3674.625
[*] Trial 16: 3674.625
[*] Trial 17: 3674.625
[*] Trial 18: 3674.625
[*] Trial 19: 2663.9375
[*] Trial 20: 2663.9375
[*] Trial 21: 2663.9375
[*] Trial 22: 2663.9375
[*] Trial 23: 2663.9375
[*] Trial 24: 2663.9375
[*] Trial 25: 2658.0
[*] Trial 26: 2658.0
[*] Trial 27: 2658.0
[*] Trial 28: 2658.0
[*] Trial 29: 2655.0
[*] Trial 30: 2655.0
[*] Trial 31: 2655.0
[*] Trial 32: 2655.0
[*] Trial 33: 2655.0
[*] Trial 34: 2655.0
[*] Trial 35: 2655.0
[*] Trial 36: 2655.0
[*] Trial 37: 2654.875
[*] Trial 38: 2654.875
[*] Trial 39: 2639.0
[*] Trial 40: 2639.0
[*] Trial 41: 2639.0
[*] Trial 42: 2639.0
[*] Trial 43: 2639.0
[*] Trial 44: 2639.0
[*] Trial 45: 2639.0
[*] Trial 46: 1646.625
[*] Trial 47: 1646.625
[*] Trial 48: 1645.0
[*] Trial 49: 1645.0
[*] min objective value:
1645.0
