[*] Running ACS optimization...
[*] Training with 30 students
[*] Trial 0: 15693.25
[*] Trial 1: 5682.0625
[*] Trial 2: 5682.0625
[*] Trial 3: 4678.8125
[*] Trial 4: 4678.4375
[*] Trial 5: 3671.25
[*] Trial 6: 2679.0
[*] Trial 7: 2673.625
[*] Trial 8: 2669.1875
[*] Trial 9: 2664.25
[*] Trial 10: 2664.0625
[*] Trial 11: 2664.0625
[*] Trial 12: 2661.6875
[*] Trial 13: 2661.6875
[*] Trial 14: 2661.5625
[*] Trial 15: 2660.25
[*] Trial 16: 2659.4375
[*] Trial 17: 2659.4375
[*] Trial 18: 2659.4375
[*] Trial 19: 2659.4375
[*] Trial 20: 2659.4375
[*] Trial 21: 2659.4375
[*] Trial 22: 2658.0
[*] Trial 23: 2656.625
[*] Trial 24: 2656.0
[*] Trial 25: 2656.0
[*] Trial 26: 2654.0625
[*] Trial 27: 2654.0625
[*] Trial 28: 2654.0625
[*] Trial 29: 2654.0625
[*] Trial 30: 2654.0625
[*] Trial 31: 2654.0625
[*] Trial 32: 2654.0625
[*] Trial 33: 2654.0625
[*] Trial 34: 2654.0625
[*] Trial 35: 2654.0625
[*] Trial 36: 2654.0625
[*] Trial 37: 2654.0625
[*] Trial 38: 2654.0625
[*] Trial 39: 2654.0625
[*] Trial 40: 2654.0625
[*] Trial 41: 2653.0
[*] Trial 42: 2653.0
[*] Trial 43: 2653.0
[*] Trial 44: 2651.25
[*] Trial 45: 2651.25
[*] Trial 46: 2651.25
[*] Trial 47: 2651.25
[*] Trial 48: 2651.25
[*] Trial 49: 2651.25
[*] min objective value:
2651.25
