[*] Running ACS optimization...
[*] Training with 30 students
[*] Trial 0: 6676.1875
[*] Trial 1: 6676.1875
[*] Trial 2: 3647.6875
[*] Trial 3: 3647.6875
[*] Trial 4: 3647.6875
[*] Trial 5: 3647.6875
[*] Trial 6: 3647.6875
[*] Trial 7: 3647.6875
[*] Trial 8: 3647.6875
[*] Trial 9: 3647.6875
[*] Trial 10: 3647.6875
[*] Trial 11: 3647.6875
[*] Trial 12: 3647.6875
[*] Trial 13: 3647.6875
[*] Trial 14: 3647.6875
[*] Trial 15: 3647.6875
[*] Trial 16: 3647.6875
[*] Trial 17: 3647.6875
[*] Trial 18: 3647.6875
[*] Trial 19: 3647.6875
[*] Trial 20: 3647.6875
[*] Trial 21: 3647.6875
[*] Trial 22: 3647.6875
[*] Trial 23: 3647.6875
[*] Trial 24: 3647.6875
[*] Trial 25: 3647.6875
[*] Trial 26: 3647.6875
[*] Trial 27: 3647.6875
[*] Trial 28: 3647.6875
[*] Trial 29: 3647.6875
[*] Trial 30: 3647.6875
[*] Trial 31: 3647.6875
[*] Trial 32: 3647.6875
[*] Trial 33: 3647.6875
[*] Trial 34: 3647.6875
[*] Trial 35: 3647.6875
[*] Trial 36: 3647.6875
[*] Trial 37: 3647.6875
[*] Trial 38: 3647.6875
[*] Trial 39: 3647.6875
[*] Trial 40: 3647.6875
[*] Trial 41: 3647.6875
[*] Trial 42: 3647.6875
[*] Trial 43: 3647.6875
[*] Trial 44: 3647.6875
[*] Trial 45: 3647.6875
[*] Trial 46: 3647.6875
[*] Trial 47: 3647.6875
[*] Trial 48: 3647.6875
[*] Trial 49: 3647.6875
[*] min objective value:
3647.6875
