[*] Running ACS optimization...
[*] Training with 30 students
[*] Trial 0: 8694.125
[*] Trial 1: 6666.125
[*] Trial 2: 6666.125
[*] Trial 3: 4674.8125
[*] Trial 4: 4667.3125
[*] Trial 5: 3664.5625
[*] Trial 6: 3663.9375
[*] Trial 7: 3663.9375
[*] Trial 8: 3663.4375
[*] Trial 9: 3663.4375
[*] Trial 10: 3663.4375
[*] Trial 11: 3663.4375
[*] Trial 12: 3663.4375
[*] Trial 13: 3663.4375
[*] Trial 14: 3663.4375
[*] Trial 15: 3663.4375
[*] Trial 16: 3663.4375
[*] Trial 17: 3663.4375
[*] Trial 18: 3663.4375
[*] Trial 19: 3663.4375
[*] Trial 20: 3663.4375
[*] Trial 21: 3663.4375
[*] Trial 22: 3663.4375
[*] Trial 23: 3663.4375
[*] Trial 24: 3663.4375
[*] Trial 25: 3663.4375
[*] Trial 26: 3663.4375
[*] Trial 27: 3663.4375
[*] Trial 28: 3663.4375
[*] Trial 29: 3663.4375
[*] Trial 30: 3663.4375
[*] Trial 31: 3663.4375
[*] Trial 32: 3663.4375
[*] Trial 33: 3663.4375
[*] Trial 34: 3663.4375
[*] Trial 35: 3663.4375
[*] Trial 36: 3663.4375
[*] Trial 37: 3663.4375
[*] Trial 38: 3663.4375
[*] Trial 39: 3663.4375
[*] Trial 40: 3663.4375
[*] Trial 41: 3663.4375
[*] Trial 42: 3663.4375
[*] Trial 43: 3663.4375
[*] Trial 44: 3663.4375
[*] Trial 45: 3663.4375
[*] Trial 46: 3663.4375
[*] Trial 47: 3663.4375
[*] Trial 48: 3663.4375
[*] Trial 49: 3663.4375
[*] min objective value:
3663.4375
