[*] Running ACS optimization...
[*] Training with 30 students
[*] Trial 0: 14681.25
[*] Trial 1: 3660.0625
[*] Trial 2: 3659.6875
[*] Trial 3: 3659.5
[*] Trial 4: 1673.6875
[*] Trial 5: 1673.6875
[*] Trial 6: 664.6875
[*] Trial 7: 660.0
[*] Trial 8: 660.0
[*] Trial 9: 651.375
[*] Trial 10: 648.75
[*] Trial 11: 648.75
[*] Trial 12: 648.75
[*] Trial 13: 648.75
[*] Trial 14: 640.875
[*] Trial 15: 640.0
[*] Trial 16: 635.3125
[*] Trial 17: 635.3125
[*] Trial 18: 635.3125
[*] Trial 19: 633.75
[*] Trial 20: 633.75
[*] Trial 21: 630.6875
[*] Trial 22: 626.6875
[*] Trial 23: 626.6875
[*] Trial 24: 625.25
[*] Trial 25: 616.5
[*] Trial 26: 616.3125
[*] Trial 27: 616.3125
[*] Trial 28: 610.4375
[*] Trial 29: 610.4375
[*] Trial 30: 597.875
[*] Trial 31: 595.875
[*] Trial 32: 595.875
[*] Trial 33: 594.0625
[*] Trial 34: 591.0
[*] Trial 35: 590.25
[*] Trial 36: 590.25
[*] Trial 37: 590.25
[*] Trial 38: 590.25
[*] Trial 39: 589.4375
[*] Trial 40: 589.4375
[*] Trial 41: 589.0625
[*] Trial 42: 588.625
[*] Trial 43: 588.5625
[*] Trial 44: 587.25
[*] Trial 45: 587.25
[*] Trial 46: 587.25
[*] Trial 47: 587.25
[*] Trial 48: 587.25
[*] Trial 49: 587.25
[*] min objective value:
587.25
