[*] Running ACS optimization...
[*] Training with 30 students
[*] Trial 0: 13672.1875
[*] Trial 1: 3676.3125
[*] Trial 2: 3676.3125
[*] Trial 3: 2680.1875
[*] Trial 4: 1678.625
[*] Trial 5: 1678.625
[*] Trial 6: 1678.625
[*] Trial 7: 1678.625
[*] Trial 8: 1676.1875
[*] Trial 9: 1676.1875
[*] Trial 10: 1676.1875
[*] Trial 11: 1674.4375
[*] Trial 12: 1674.4375
[*] Trial 13: 671.0
[*] Trial 14: 669.5625
[*] Trial 15: 669.5625
[*] Trial 16: 669.5625
[*] Trial 17: 669.5625
[*] Trial 18: 669.5625
[*] Trial 19: 669.5625
[*] Trial 20: 669.5625
[*] Trial 21: 669.5625
[*] Trial 22: 669.5625
[*] Trial 23: 669.5625
[*] Trial 24: 669.5625
[*] Trial 25: 666.4375
[*] Trial 26: 666.4375
[*] Trial 27: 666.4375
[*] Trial 28: 666.4375
[*] Trial 29: 666.4375
[*] Trial 30: 666.4375
[*] Trial 31: 666.4375
[*] Trial 32: 666.4375
[*] Trial 33: 666.4375
[*] Trial 34: 666.4375
[*] Trial 35: 666.4375
[*] Trial 36: 666.4375
[*] Trial 37: 666.4375
[*] Trial 38: 666.4375
[*] Trial 39: 666.4375
[*] Trial 40: 666.4375
[*] Trial 41: 666.4375
[*] Trial 42: 666.4375
[*] Trial 43: 666.4375
[*] Trial 44: 666.4375
[*] Trial 45: 666.4375
[*] Trial 46: 666.4375
[*] Trial 47: 666.4375
[*] Trial 48: 666.4375
[*] Trial 49: 666.4375
[*] min objective value:
666.4375
