[*] Running ACS optimization...
[*] Training with 30 students
[*] Trial 0: 15668.375
[*] Trial 1: 14662.8125
[*] Trial 2: 14662.8125
[*] Trial 3: 5663.4375
[*] Trial 4: 5663.4375
[*] Trial 5: 4662.1875
[*] Trial 6: 4651.375
[*] Trial 7: 4648.4375
[*] Trial 8: 4648.4375
[*] Trial 9: 4648.1875
[*] Trial 10: 3642.125
[*] Trial 11: 3641.5625
[*] Trial 12: 3637.375
[*] Trial 13: 3637.375
[*] Trial 14: 3637.375
[*] Trial 15: 3637.375
[*] Trial 16: 3627.5625
[*] Trial 17: 3627.5625
[*] Trial 18: 3627.5625
[*] Trial 19: 2635.0625
[*] Trial 20: 2626.25
[*] Trial 21: 2626.25
[*] Trial 22: 2620.875
[*] Trial 23: 2620.875
[*] Trial 24: 2620.875
[*] Trial 25: 2620.875
[*] Trial 26: 2620.875
[*] Trial 27: 2620.875
[*] Trial 28: 2614.6875
[*] Trial 29: 2610.75
[*] Trial 30: 2610.75
[*] Trial 31: 2610.75
[*] Trial 32: 2610.75
[*] Trial 33: 2609.6875
[*] Trial 34: 2608.375
[*] Trial 35: 2608.375
[*] Trial 36: 2605.9375
[*] Trial 37: 2605.9375
[*] Trial 38: 2603.1875
[*] Trial 39: 2603.1875
[*] Trial 40: 2603.1875
[*] Trial 41: 2601.25
[*] Trial 42: 2598.625
[*] Trial 43: 2598.625
[*] Trial 44: 1599.4375
[*] Trial 45: 1598.6875
[*] Trial 46: 1598.6875
[*] Trial 47: 1597.625
[*] Trial 48: 597.5625
[*] Trial 49: 596.0
[*] min objective value:
596.0
