[*] Running ACS optimization...
[*] Training with 30 students
[*] Trial 0: 15670.6875
[*] Trial 1: 15670.6875
[*] Trial 2: 15670.6875
[*] Trial 3: 6686.0
[*] Trial 4: 6661.4375
[*] Trial 5: 6661.4375
[*] Trial 6: 6661.4375
[*] Trial 7: 6661.4375
[*] Trial 8: 6661.4375
[*] Trial 9: 6661.4375
[*] Trial 10: 6661.4375
[*] Trial 11: 6661.4375
[*] Trial 12: 6661.4375
[*] Trial 13: 4675.8125
[*] Trial 14: 4675.8125
[*] Trial 15: 4675.8125
[*] Trial 16: 4671.125
[*] Trial 17: 4671.125
[*] Trial 18: 4671.125
[*] Trial 19: 4671.125
[*] Trial 20: 4671.125
[*] Trial 21: 4671.125
[*] Trial 22: 4671.125
[*] Trial 23: 4671.125
[*] Trial 24: 4671.125
[*] Trial 25: 4671.125
[*] Trial 26: 4671.125
[*] Trial 27: 4671.125
[*] Trial 28: 4671.125
[*] Trial 29: 4671.125
[*] Trial 30: 4671.125
[*] Trial 31: 4671.125
[*] Trial 32: 4671.125
[*] Trial 33: 4671.125
[*] Trial 34: 4671.125
[*] Trial 35: 4671.125
[*] Trial 36: 4671.125
[*] Trial 37: 4671.125
[*] Trial 38: 4671.125
[*] Trial 39: 4671.125
[*] Trial 40: 4671.125
[*] Trial 41: 4671.125
[*] Trial 42: 4671.125
[*] Trial 43: 4671.125
[*] Trial 44: 4671.125
[*] Trial 45: 4671.125
[*] Trial 46: 4671.125
[*] Trial 47: 4671.125
[*] Trial 48: 4671.125
[*] Trial 49: 4671.125
[*] min objective value:
4671.125
