[*] Running ACS optimization...
[*] Training with 30 students
[*] Trial 0: 27698.125
[*] Trial 1: 10771.25
[*] Trial 2: 10771.25
[*] Trial 3: 10764.9375
[*] Trial 4: 10764.9375
[*] Trial 5: 10764.9375
[*] Trial 6: 9753.0
[*] Trial 7: 9753.0
[*] Trial 8: 9753.0
[*] Trial 9: 9753.0
[*] Trial 10: 9753.0
[*] Trial 11: 9753.0
[*] Trial 12: 9753.0
[*] Trial 13: 9753.0
[*] Trial 14: 9753.0
[*] Trial 15: 9753.0
[*] Trial 16: 9753.0
[*] Trial 17: 9753.0
[*] Trial 18: 9753.0
[*] Trial 19: 9753.0
[*] Trial 20: 9753.0
[*] Trial 21: 9753.0
[*] Trial 22: 9753.0
[*] Trial 23: 9747.6875
[*] Trial 24: 9747.6875
[*] Trial 25: 9747.6875
[*] Trial 26: 9747.6875
[*] Trial 27: 9747.6875
[*] Trial 28: 9747.6875
[*] Trial 29: 9747.6875
[*] Trial 30: 9747.6875
[*] Trial 31: 9747.6875
[*] Trial 32: 9747.6875
[*] Trial 33: 9747.6875
[*] Trial 34: 9747.6875
[*] Trial 35: 9747.6875
[*] Trial 36: 9747.6875
[*] Trial 37: 9747.6875
[*] Trial 38: 9747.6875
[*] Trial 39: 9747.6875
[*] Trial 40: 9747.6875
[*] Trial 41: 9747.6875
[*] Trial 42: 9747.6875
[*] Trial 43: 9747.6875
[*] Trial 44: 9747.6875
[*] Trial 45: 9747.6875
[*] Trial 46: 9747.3125
[*] Trial 47: 9747.3125
[*] Trial 48: 9747.3125
[*] Trial 49: 9747.3125
[*] min objective value:
9747.3125
