[*] Running ACS optimization...
[*] Training with 30 students
[*] Trial 0: 4682.75
[*] Trial 1: 3682.1875
[*] Trial 2: 3682.1875
[*] Trial 3: 3682.1875
[*] Trial 4: 3682.1875
[*] Trial 5: 3682.1875
[*] Trial 6: 3682.1875
[*] Trial 7: 3682.1875
[*] Trial 8: 3682.1875
[*] Trial 9: 3682.1875
[*] Trial 10: 3682.1875
[*] Trial 11: 3682.1875
[*] Trial 12: 3682.1875
[*] Trial 13: 3682.1875
[*] Trial 14: 3682.1875
[*] Trial 15: 3682.1875
[*] Trial 16: 3682.1875
[*] Trial 17: 3682.1875
[*] Trial 18: 1676.3125
[*] Trial 19: 1676.3125
[*] Trial 20: 1676.3125
[*] Trial 21: 1666.125
[*] Trial 22: 1666.125
[*] Trial 23: 1666.125
[*] Trial 24: 1666.125
[*] Trial 25: 1666.125
[*] Trial 26: 1666.125
[*] Trial 27: 659.4375
[*] Trial 28: 657.75
[*] Trial 29: 653.8125
[*] Trial 30: 653.8125
[*] Trial 31: 653.8125
[*] Trial 32: 653.8125
[*] Trial 33: 653.8125
[*] Trial 34: 653.8125
[*] Trial 35: 653.8125
[*] Trial 36: 653.8125
[*] Trial 37: 645.25
[*] Trial 38: 645.25
[*] Trial 39: 645.25
[*] Trial 40: 638.75
[*] Trial 41: 638.75
[*] Trial 42: 638.75
[*] Trial 43: 631.625
[*] Trial 44: 631.625
[*] Trial 45: 631.625
[*] Trial 46: 626.625
[*] Trial 47: 624.4375
[*] Trial 48: 624.4375
[*] Trial 49: 624.4375
[*] min objective value:
624.4375
