[*] Running ACS optimization...
[*] Training with 30 students
[*] Trial 0: 15677.75
[*] Trial 1: 15677.75
[*] Trial 2: 15677.75
[*] Trial 3: 4668.0625
[*] Trial 4: 4668.0625
[*] Trial 5: 3665.875
[*] Trial 6: 1661.375
[*] Trial 7: 1661.375
[*] Trial 8: 1661.375
[*] Trial 9: 1661.375
[*] Trial 10: 1656.875
[*] Trial 11: 1653.6875
[*] Trial 12: 1649.0
[*] Trial 13: 1649.0
[*] Trial 14: 1648.4375
[*] Trial 15: 1645.25
[*] Trial 16: 647.6875
[*] Trial 17: 640.75
[*] Trial 18: 635.8125
[*] Trial 19: 632.8125
[*] Trial 20: 632.8125
[*] Trial 21: 629.875
[*] Trial 22: 624.1875
[*] Trial 23: 624.1875
[*] Trial 24: 624.1875
[*] Trial 25: 624.1875
[*] Trial 26: 624.1875
[*] Trial 27: 617.1875
[*] Trial 28: 617.1875
[*] Trial 29: 614.9375
[*] Trial 30: 614.9375
[*] Trial 31: 614.9375
[*] Trial 32: 614.625
[*] Trial 33: 614.625
[*] Trial 34: 614.625
[*] Trial 35: 612.8125
[*] Trial 36: 612.8125
[*] Trial 37: 611.3125
[*] Trial 38: 611.3125
[*] Trial 39: 611.3125
[*] Trial 40: 611.3125
[*] Trial 41: 603.4375
[*] Trial 42: 603.4375
[*] Trial 43: 603.4375
[*] Trial 44: 603.4375
[*] Trial 45: 602.625
[*] Trial 46: 602.625
[*] Trial 47: 600.0
[*] Trial 48: 599.4375
[*] Trial 49: 595.75
[*] min objective value:
595.75
