[*] Running ACS optimization...
[*] Training with 30 students
[*] Trial 0: 25664.625
[*] Trial 1: 25664.625
[*] Trial 2: 25664.625
[*] Trial 3: 25664.625
[*] Trial 4: 25664.625
[*] Trial 5: 25664.625
[*] Trial 6: 25664.625
[*] Trial 7: 25664.625
[*] Trial 8: 25664.625
[*] Trial 9: 25664.625
[*] Trial 10: 25664.625
[*] Trial 11: 25664.625
[*] Trial 12: 25664.625
[*] Trial 13: 25664.625
[*] Trial 14: 25664.625
[*] Trial 15: 25664.625
[*] Trial 16: 25664.625
[*] Trial 17: 25664.625
[*] Trial 18: 25664.625
[*] Trial 19: 25664.625
[*] Trial 20: 25664.625
[*] Trial 21: 25664.625
[*] Trial 22: 25664.625
[*] Trial 23: 25664.625
[*] Trial 24: 25664.625
[*] Trial 25: 25664.625
[*] Trial 26: 25664.625
[*] Trial 27: 25664.625
[*] Trial 28: 25664.625
[*] Trial 29: 25664.625
[*] Trial 30: 25664.625
[*] Trial 31: 25664.625
[*] Trial 32: 25664.625
[*] Trial 33: 25664.625
[*] Trial 34: 25664.625
[*] Trial 35: 25664.625
[*] Trial 36: 25664.625
[*] Trial 37: 25664.625
[*] Trial 38: 25664.625
[*] Trial 39: 25664.625
[*] Trial 40: 25664.625
[*] Trial 41: 25664.625
[*] Trial 42: 25664.625
[*] Trial 43: 25664.625
[*] Trial 44: 25664.625
[*] Trial 45: 25664.625
[*] Trial 46: 25664.625
[*] Trial 47: 25664.625
[*] Trial 48: 25664.625
[*] Trial 49: 25664.625
[*] min objective value:
25664.625
