[*] Running ACS optimization...
[*] Training with 30 students
[*] Trial 0: 23666.3125
[*] Trial 1: 13661.8125
[*] Trial 2: 13661.8125
[*] Trial 3: 6685.0
[*] Trial 4: 5662.9375
[*] Trial 5: 5662.9375
[*] Trial 6: 5654.375
[*] Trial 7: 3644.4375
[*] Trial 8: 3644.4375
[*] Trial 9: 3643.0625
[*] Trial 10: 3643.0625
[*] Trial 11: 3643.0625
[*] Trial 12: 3643.0625
[*] Trial 13: 3642.6875
[*] Trial 14: 3642.25
[*] Trial 15: 3642.1875
[*] Trial 16: 3641.75
[*] Trial 17: 3641.75
[*] Trial 18: 3641.625
[*] Trial 19: 3638.5
[*] Trial 20: 2640.1875
[*] Trial 21: 2640.1875
[*] Trial 22: 2640.1875
[*] Trial 23: 2640.1875
[*] Trial 24: 2640.1875
[*] Trial 25: 2640.1875
[*] Trial 26: 2640.1875
[*] Trial 27: 2640.1875
[*] Trial 28: 2640.1875
[*] Trial 29: 2640.1875
[*] Trial 30: 2635.4375
[*] Trial 31: 2635.4375
[*] Trial 32: 2635.4375
[*] Trial 33: 2635.4375
[*] Trial 34: 2635.4375
[*] Trial 35: 2635.4375
[*] Trial 36: 2635.4375
[*] Trial 37: 2635.4375
[*] Trial 38: 2635.4375
[*] Trial 39: 2635.4375
[*] Trial 40: 2635.4375
[*] Trial 41: 2635.4375
[*] Trial 42: 2635.4375
[*] Trial 43: 2635.4375
[*] Trial 44: 2635.4375
[*] Trial 45: 2634.6875
[*] Trial 46: 2633.3125
[*] Trial 47: 2633.3125
[*] Trial 48: 2633.0625
[*] Trial 49: 2633.0625
[*] min objective value:
2633.0625
