[*] Running ACS optimization...
[*] Training with 30 students
[*] Trial 0: 14662.375
[*] Trial 1: 3652.75
[*] Trial 2: 3652.75
[*] Trial 3: 3652.75
[*] Trial 4: 2653.125
[*] Trial 5: 1648.6875
[*] Trial 6: 1648.6875
[*] Trial 7: 1648.6875
[*] Trial 8: 1648.6875
[*] Trial 9: 1648.6875
[*] Trial 10: 1648.6875
[*] Trial 11: 1648.6875
[*] Trial 12: 1648.6875
[*] Trial 13: 1648.6875
[*] Trial 14: 1648.6875
[*] Trial 15: 1648.6875
[*] Trial 16: 1641.6875
[*] Trial 17: 1641.6875
[*] Trial 18: 1641.6875
[*] Trial 19: 1641.6875
[*] Trial 20: 1638.1875
[*] Trial 21: 1638.1875
[*] Trial 22: 1638.1875
[*] Trial 23: 659.0
[*] Trial 24: 648.0625
[*] Trial 25: 648.0625
[*] Trial 26: 648.0625
[*] Trial 27: 646.8125
[*] Trial 28: 639.75
[*] Trial 29: 639.75
[*] Trial 30: 639.75
[*] Trial 31: 639.75
[*] Trial 32: 639.75
[*] Trial 33: 627.5625
[*] Trial 34: 624.3125
[*] Trial 35: 620.6875
[*] Trial 36: 620.6875
[*] Trial 37: 614.1875
[*] Trial 38: 614.1875
[*] Trial 39: 613.0625
[*] Trial 40: 610.8125
[*] Trial 41: 610.8125
[*] Trial 42: 610.8125
[*] Trial 43: 610.8125
[*] Trial 44: 607.6875
[*] Trial 45: 607.6875
[*] Trial 46: 607.6875
[*] Trial 47: 607.125
[*] Trial 48: 607.125
[*] Trial 49: 606.9375
[*] min objective value:
606.9375
