[*] Running ACS optimization...
[*] Training with 30 students
[*] Trial 0: 13676.125
[*] Trial 1: 4670.8125
[*] Trial 2: 3663.875
[*] Trial 3: 3660.375
[*] Trial 4: 2660.75
[*] Trial 5: 2652.8125
[*] Trial 6: 2650.5
[*] Trial 7: 2646.5625
[*] Trial 8: 2640.9375
[*] Trial 9: 2634.0
[*] Trial 10: 2629.5
[*] Trial 11: 2627.4375
[*] Trial 12: 2622.5625
[*] Trial 13: 1621.0625
[*] Trial 14: 1616.5625
[*] Trial 15: 1611.875
[*] Trial 16: 1609.9375
[*] Trial 17: 1607.0
[*] Trial 18: 1602.5625
[*] Trial 19: 1600.5
[*] Trial 20: 1600.5
[*] Trial 21: 1596.4375
[*] Trial 22: 1588.75
[*] Trial 23: 1588.75
[*] Trial 24: 1588.75
[*] Trial 25: 1586.3125
[*] Trial 26: 1584.8125
[*] Trial 27: 1584.8125
[*] Trial 28: 1581.0625
[*] Trial 29: 1578.3125
[*] Trial 30: 1575.9375
[*] Trial 31: 1575.3125
[*] Trial 32: 1571.75
[*] Trial 33: 1569.1875
[*] Trial 34: 1568.0625
[*] Trial 35: 1566.25
[*] Trial 36: 1564.5
[*] Trial 37: 1561.125
[*] Trial 38: 1560.875
[*] Trial 39: 1558.1875
[*] Trial 40: 563.625
[*] Trial 41: 557.125
[*] Trial 42: 552.4375
[*] Trial 43: 552.4375
[*] Trial 44: 552.4375
[*] Trial 45: 551.25
[*] Trial 46: 551.125
[*] Trial 47: 551.125
[*] Trial 48: 550.0625
[*] Trial 49: 549.9375
[*] min objective value:
549.9375
