[*] Running ACS optimization...
[*] Training with 30 students
[*] Trial 0: 16681.625
[*] Trial 1: 16681.625
[*] Trial 2: 16681.625
[*] Trial 3: 16681.625
[*] Trial 4: 16679.0625
[*] Trial 5: 15663.0
[*] Trial 6: 15663.0
[*] Trial 7: 15663.0
[*] Trial 8: 15663.0
[*] Trial 9: 15663.0
[*] Trial 10: 15654.6875
[*] Trial 11: 15654.6875
[*] Trial 12: 15654.6875
[*] Trial 13: 15654.6875
[*] Trial 14: 15654.6875
[*] Trial 15: 15654.6875
[*] Trial 16: 15654.6875
[*] Trial 17: 13657.0625
[*] Trial 18: 13657.0625
[*] Trial 19: 4652.75
[*] Trial 20: 4652.75
[*] Trial 21: 4652.75
[*] Trial 22: 4652.75
[*] Trial 23: 4652.75
[*] Trial 24: 3656.375
[*] Trial 25: 3656.375
[*] Trial 26: 3656.375
[*] Trial 27: 3656.375
[*] Trial 28: 3656.375
[*] Trial 29: 3656.375
[*] Trial 30: 3656.375
[*] Trial 31: 3656.375
[*] Trial 32: 3656.375
[*] Trial 33: 3656.375
[*] Trial 34: 3656.375
[*] Trial 35: 3656.375
[*] Trial 36: 3656.375
[*] Trial 37: 3656.375
[*] Trial 38: 3656.375
[*] Trial 39: 3656.375
[*] Trial 40: 3656.375
[*] Trial 41: 3656.375
[*] Trial 42: 3656.375
[*] Trial 43: 3656.375
[*] Trial 44: 3656.375
[*] Trial 45: 3656.375
[*] Trial 46: 3656.375
[*] Trial 47: 3656.375
[*] Trial 48: 3656.375
[*] Trial 49: 3656.375
[*] min objective value:
3656.375
