[*] Running ACS optimization...
[*] Training with 30 students
[*] Trial 0: 26661.75
[*] Trial 1: 15659.875
[*] Trial 2: 15659.875
[*] Trial 3: 15659.875
[*] Trial 4: 7678.0
[*] Trial 5: 7678.0
[*] Trial 6: 7678.0
[*] Trial 7: 7678.0
[*] Trial 8: 7678.0
[*] Trial 9: 7678.0
[*] Trial 10: 7678.0
[*] Trial 11: 7678.0
[*] Trial 12: 7678.0
[*] Trial 13: 7678.0
[*] Trial 14: 7678.0
[*] Trial 15: 4666.125
[*] Trial 16: 4666.125
[*] Trial 17: 4666.125
[*] Trial 18: 4666.125
[*] Trial 19: 4666.125
[*] Trial 20: 4666.125
[*] Trial 21: 4666.125
[*] Trial 22: 4666.125
[*] Trial 23: 4666.125
[*] Trial 24: 4666.125
[*] Trial 25: 4666.125
[*] Trial 26: 4666.125
[*] Trial 27: 4666.125
[*] Trial 28: 4666.125
[*] Trial 29: 4666.125
[*] Trial 30: 4666.125
[*] Trial 31: 4666.125
[*] Trial 32: 4666.125
[*] Trial 33: 4666.125
[*] Trial 34: 4666.125
[*] Trial 35: 4666.125
[*] Trial 36: 4666.125
[*] Trial 37: 4666.125
[*] Trial 38: 4666.125
[*] Trial 39: 4666.125
[*] Trial 40: 4666.125
[*] Trial 41: 4666.125
[*] Trial 42: 4666.125
[*] Trial 43: 4666.125
[*] Trial 44: 4666.125
[*] Trial 45: 4666.125
[*] Trial 46: 4666.125
[*] Trial 47: 4666.125
[*] Trial 48: 4666.125
[*] Trial 49: 4666.125
[*] min objective value:
4666.125
