[*] Running ACS optimization...
[*] Training with 30 students
[*] Trial 0: 18682.125
[*] Trial 1: 7679.25
[*] Trial 2: 7679.25
[*] Trial 3: 7677.875
[*] Trial 4: 7677.875
[*] Trial 5: 7677.875
[*] Trial 6: 7677.875
[*] Trial 7: 6733.75
[*] Trial 8: 5747.8125
[*] Trial 9: 5747.8125
[*] Trial 10: 5747.8125
[*] Trial 11: 5747.8125
[*] Trial 12: 5747.8125
[*] Trial 13: 5747.8125
[*] Trial 14: 5747.8125
[*] Trial 15: 5747.8125
[*] Trial 16: 5747.8125
[*] Trial 17: 5747.8125
[*] Trial 18: 5747.8125
[*] Trial 19: 5747.8125
[*] Trial 20: 5747.8125
[*] Trial 21: 5747.8125
[*] Trial 22: 5747.8125
[*] Trial 23: 5747.8125
[*] Trial 24: 5747.8125
[*] Trial 25: 5747.8125
[*] Trial 26: 5747.8125
[*] Trial 27: 5747.8125
[*] Trial 28: 5747.8125
[*] Trial 29: 5747.8125
[*] Trial 30: 5747.8125
[*] Trial 31: 5747.8125
[*] Trial 32: 5747.8125
[*] Trial 33: 5747.8125
[*] Trial 34: 5747.8125
[*] Trial 35: 5747.8125
[*] Trial 36: 5747.0625
[*] Trial 37: 5747.0625
[*] Trial 38: 5747.0625
[*] Trial 39: 5747.0625
[*] Trial 40: 5747.0625
[*] Trial 41: 5747.0625
[*] Trial 42: 5747.0625
[*] Trial 43: 5747.0625
[*] Trial 44: 5747.0625
[*] Trial 45: 5747.0625
[*] Trial 46: 5747.0625
[*] Trial 47: 5747.0625
[*] Trial 48: 5747.0625
[*] Trial 49: 5747.0625
[*] min objective value:
5747.0625
