[*] Running ACS optimization...
[*] Training with 30 students
[*] Trial 0: 8673.125
[*] Trial 1: 6680.6875
[*] Trial 2: 5688.375
[*] Trial 3: 5688.375
[*] Trial 4: 4681.0
[*] Trial 5: 4681.0
[*] Trial 6: 4681.0
[*] Trial 7: 3684.8125
[*] Trial 8: 3684.8125
[*] Trial 9: 3684.8125
[*] Trial 10: 3684.8125
[*] Trial 11: 3684.8125
[*] Trial 12: 3684.8125
[*] Trial 13: 3676.125
[*] Trial 14: 3676.125
[*] Trial 15: 3676.125
[*] Trial 16: 3676.125
[*] Trial 17: 3674.5
[*] Trial 18: 3674.5
[*] Trial 19: 3674.5
[*] Trial 20: 3668.625
[*] Trial 21: 3668.625
[*] Trial 22: 3668.625
[*] Trial 23: 3668.625
[*] Trial 24: 3666.625
[*] Trial 25: 3663.625
[*] Trial 26: 3663.625
[*] Trial 27: 3663.625
[*] Trial 28: 3663.625
[*] Trial 29: 3658.75
[*] Trial 30: 3658.75
[*] Trial 31: 2660.3125
[*] Trial 32: 2659.5
[*] Trial 33: 2658.5
[*] Trial 34: 2656.5625
[*] Trial 35: 2655.5
[*] Trial 36: 2655.5
[*] Trial 37: 2653.375
[*] Trial 38: 2653.375
[*] Trial 39: 2653.375
[*] Trial 40: 2652.9375
[*] Trial 41: 2652.9375
[*] Trial 42: 2652.9375
[*] Trial 43: 2650.75
[*] Trial 44: 2650.75
[*] Trial 45: 2650.75
[*] Trial 46: 2650.75
[*] Trial 47: 2650.4375
[*] Trial 48: 2647.0
[*] Trial 49: 2647.0
[*] min objective value:
2647.0
