[*] Running ACS optimization...
[*] Training with 30 students
[*] Trial 0: 16677.8125
[*] Trial 1: 13660.875
[*] Trial 2: 13660.875
[*] Trial 3: 13660.875
[*] Trial 4: 13660.875
[*] Trial 5: 13660.875
[*] Trial 6: 13660.875
[*] Trial 7: 13660.875
[*] Trial 8: 13660.875
[*] Trial 9: 13657.9375
[*] Trial 10: 13657.9375
[*] Trial 11: 12655.875
[*] Trial 12: 12655.875
[*] Trial 13: 12655.875
[*] Trial 14: 12655.875
[*] Trial 15: 12655.875
[*] Trial 16: 12655.875
[*] Trial 17: 12655.3125
[*] Trial 18: 12655.3125
[*] Trial 19: 12655.1875
[*] Trial 20: 12651.375
[*] Trial 21: 12649.625
[*] Trial 22: 12646.0
[*] Trial 23: 12645.25
[*] Trial 24: 12642.6875
[*] Trial 25: 12642.4375
[*] Trial 26: 12640.875
[*] Trial 27: 12638.0625
[*] Trial 28: 12632.75
[*] Trial 29: 12632.75
[*] Trial 30: 12630.9375
[*] Trial 31: 11627.5
[*] Trial 32: 11626.0
[*] Trial 33: 11626.0
[*] Trial 34: 11626.0
[*] Trial 35: 11626.0
[*] Trial 36: 11626.0
[*] Trial 37: 11626.0
[*] Trial 38: 11624.125
[*] Trial 39: 11624.125
[*] Trial 40: 11624.125
[*] Trial 41: 11624.125
[*] Trial 42: 11624.125
[*] Trial 43: 11624.125
[*] Trial 44: 11624.0
[*] Trial 45: 11623.75
[*] Trial 46: 11623.75
[*] Trial 47: 11623.75
[*] Trial 48: 11623.75
[*] Trial 49: 11623.75
[*] min objective value:
11623.75
