[*] Running ACS optimization...
[*] Training with 30 students
[*] Trial 0: 23659.0
[*] Trial 1: 18670.6875
[*] Trial 2: 18670.6875
[*] Trial 3: 18670.6875
[*] Trial 4: 18670.6875
[*] Trial 5: 13655.4375
[*] Trial 6: 13655.4375
[*] Trial 7: 13655.4375
[*] Trial 8: 13655.4375
[*] Trial 9: 12668.75
[*] Trial 10: 12668.75
[*] Trial 11: 3662.0625
[*] Trial 12: 3662.0625
[*] Trial 13: 3662.0625
[*] Trial 14: 3662.0625
[*] Trial 15: 3662.0625
[*] Trial 16: 3662.0625
[*] Trial 17: 3662.0625
[*] Trial 18: 3651.75
[*] Trial 19: 3651.75
[*] Trial 20: 3651.75
[*] Trial 21: 3651.75
[*] Trial 22: 3651.75
[*] Trial 23: 3651.75
[*] Trial 24: 3651.75
[*] Trial 25: 3651.75
[*] Trial 26: 3651.75
[*] Trial 27: 3651.75
[*] Trial 28: 3651.75
[*] Trial 29: 3651.75
[*] Trial 30: 3651.75
[*] Trial 31: 3650.125
[*] Trial 32: 3650.125
[*] Trial 33: 3650.125
[*] Trial 34: 3650.125
[*] Trial 35: 3650.125
[*] Trial 36: 3645.625
[*] Trial 37: 3645.625
[*] Trial 38: 3645.625
[*] Trial 39: 3645.625
[*] Trial 40: 3645.625
[*] Trial 41: 3645.625
[*] Trial 42: 3645.5
[*] Trial 43: 3645.5
[*] Trial 44: 3645.5
[*] Trial 45: 3645.5
[*] Trial 46: 3643.0
[*] Trial 47: 3642.6875
[*] Trial 48: 3642.6875
[*] Trial 49: 3642.6875
[*] min objective value:
3642.6875
