[*] Running ACS optimization...
[*] Training with 30 students
[*] Trial 0: 13696.75
[*] Trial 1: 13696.75
[*] Trial 2: 13696.75
[*] Trial 3: 13696.75
[*] Trial 4: 13696.75
[*] Trial 5: 13696.75
[*] Trial 6: 13696.75
[*] Trial 7: 13696.75
[*] Trial 8: 13696.75
[*] Trial 9: 13696.75
[*] Trial 10: 13696.75
[*] Trial 11: 13696.75
[*] Trial 12: 13696.75
[*] Trial 13: 13696.75
[*] Trial 14: 13696.75
[*] Trial 15: 13696.75
[*] Trial 16: 13696.75
[*] Trial 17: 13696.75
[*] Trial 18: 13696.75
[*] Trial 19: 13696.75
[*] Trial 20: 13696.75
[*] Trial 21: 13696.75
[*] Trial 22: 13696.75
[*] Trial 23: 4700.0
[*] Trial 24: 4700.0
[*] Trial 25: 4700.0
[*] Trial 26: 4700.0
[*] Trial 27: 4700.0
[*] Trial 28: 4700.0
[*] Trial 29: 4700.0
[*] Trial 30: 4700.0
[*] Trial 31: 4700.0
[*] Trial 32: 4700.0
[*] Trial 33: 4700.0
[*] Trial 34: 4700.0
[*] Trial 35: 4688.9375
[*] Trial 36: 4688.9375
[*] Trial 37: 4688.375
[*] Trial 38: 4687.8125
[*] Trial 39: 4687.8125
[*] Trial 40: 4687.8125
[*] Trial 41: 4687.8125
[*] Trial 42: 4687.8125
[*] Trial 43: 4687.8125
[*] Trial 44: 4687.8125
[*] Trial 45: 4687.8125
[*] Trial 46: 4687.8125
[*] Trial 47: 4687.8125
[*] Trial 48: 4687.8125
[*] Trial 49: 4687.8125
[*] min objective value:
4687.8125
