[*] Running ACS optimization...
[*] Training with 30 students
[*] Trial 0: 24701.3125
[*] Trial 1: 24701.3125
[*] Trial 2: 8704.6875
[*] Trial 3: 8704.6875
[*] Trial 4: 5697.6875
[*] Trial 5: 5697.6875
[*] Trial 6: 5697.6875
[*] Trial 7: 5697.6875
[*] Trial 8: 5695.875
[*] Trial 9: 5695.875
[*] Trial 10: 5695.875
[*] Trial 11: 4700.0625
[*] Trial 12: 4700.0625
[*] Trial 13: 4700.0625
[*] Trial 14: 4700.0625
[*] Trial 15: 4700.0625
[*] Trial 16: 4700.0625
[*] Trial 17: 4700.0625
[*] Trial 18: 4700.0625
[*] Trial 19: 4700.0625
[*] Trial 20: 4700.0625
[*] Trial 21: 4700.0625
[*] Trial 22: 4700.0625
[*] Trial 23: 4700.0625
[*] Trial 24: 4700.0625
[*] Trial 25: 4700.0625
[*] Trial 26: 4700.0625
[*] Trial 27: 4700.0625
[*] Trial 28: 4700.0625
[*] Trial 29: 4700.0625
[*] Trial 30: 4700.0625
[*] Trial 31: 4700.0625
[*] Trial 32: 4700.0625
[*] Trial 33: 4700.0625
[*] Trial 34: 4700.0625
[*] Trial 35: 4700.0625
[*] Trial 36: 4700.0625
[*] Trial 37: 4700.0625
[*] Trial 38: 4700.0625
[*] Trial 39: 4700.0625
[*] Trial 40: 4700.0625
[*] Trial 41: 4700.0625
[*] Trial 42: 4700.0625
[*] Trial 43: 4700.0625
[*] Trial 44: 4700.0625
[*] Trial 45: 4700.0625
[*] Trial 46: 4700.0625
[*] Trial 47: 4700.0625
[*] Trial 48: 4700.0625
[*] Trial 49: 4700.0625
[*] min objective value:
4700.0625
