[*] Running ACS optimization...
[*] Training with 30 students
[*] Trial 0: 14688.25
[*] Trial 1: 8693.5625
[*] Trial 2: 8693.5625
[*] Trial 3: 8693.5625
[*] Trial 4: 8693.5625
[*] Trial 5: 8693.5625
[*] Trial 6: 8693.5625
[*] Trial 7: 8693.5625
[*] Trial 8: 4669.25
[*] Trial 9: 4669.25
[*] Trial 10: 4669.25
[*] Trial 11: 4669.25
[*] Trial 12: 4669.25
[*] Trial 13: 4669.25
[*] Trial 14: 4669.25
[*] Trial 15: 4669.25
[*] Trial 16: 4669.25
[*] Trial 17: 4669.25
[*] Trial 18: 4669.25
[*] Trial 19: 4669.25
[*] Trial 20: 4669.25
[*] Trial 21: 4669.25
[*] Trial 22: 4669.25
[*] Trial 23: 4669.25
[*] Trial 24: 4669.25
[*] Trial 25: 4669.25
[*] Trial 26: 4669.25
[*] Trial 27: 4669.25
[*] Trial 28: 4669.25
[*] Trial 29: 4669.25
[*] Trial 30: 4669.25
[*] Trial 31: 4669.25
[*] Trial 32: 4669.25
[*] Trial 33: 4669.25
[*] Trial 34: 4669.25
[*] Trial 35: 4669.25
[*] Trial 36: 4669.25
[*] Trial 37: 4669.25
[*] Trial 38: 4669.25
[*] Trial 39: 4669.25
[*] Trial 40: 4669.25
[*] Trial 41: 4669.25
[*] Trial 42: 4669.25
[*] Trial 43: 4669.25
[*] Trial 44: 4669.25
[*] Trial 45: 4669.25
[*] Trial 46: 4669.25
[*] Trial 47: 4669.25
[*] Trial 48: 4669.25
[*] Trial 49: 4669.25
[*] min objective value:
4669.25
