[*] Running ACS optimization...
[*] Training with 30 students
[*] Trial 0: 16676.125
[*] Trial 1: 16676.125
[*] Trial 2: 12620.125
[*] Trial 3: 12620.125
[*] Trial 4: 12620.125
[*] Trial 5: 12620.125
[*] Trial 6: 12620.125
[*] Trial 7: 12620.125
[*] Trial 8: 12620.125
[*] Trial 9: 12620.125
[*] Trial 10: 12620.125
[*] Trial 11: 12620.125
[*] Trial 12: 12620.125
[*] Trial 13: 12620.125
[*] Trial 14: 11657.0625
[*] Trial 15: 11657.0625
[*] Trial 16: 11657.0625
[*] Trial 17: 11657.0625
[*] Trial 18: 11657.0625
[*] Trial 19: 11657.0625
[*] Trial 20: 11657.0625
[*] Trial 21: 3663.875
[*] Trial 22: 3663.875
[*] Trial 23: 3663.875
[*] Trial 24: 3663.875
[*] Trial 25: 3663.875
[*] Trial 26: 3663.875
[*] Trial 27: 2662.875
[*] Trial 28: 2659.875
[*] Trial 29: 2659.875
[*] Trial 30: 2659.875
[*] Trial 31: 2659.875
[*] Trial 32: 2659.875
[*] Trial 33: 2659.875
[*] Trial 34: 2659.875
[*] Trial 35: 2656.0625
[*] Trial 36: 2651.1875
[*] Trial 37: 2651.1875
[*] Trial 38: 2651.1875
[*] Trial 39: 2642.5625
[*] Trial 40: 2638.25
[*] Trial 41: 2632.1875
[*] Trial 42: 2629.875
[*] Trial 43: 2629.875
[*] Trial 44: 1625.0625
[*] Trial 45: 1623.4375
[*] Trial 46: 1621.1875
[*] Trial 47: 1621.1875
[*] Trial 48: 1620.25
[*] Trial 49: 1620.25
[*] min objective value:
1620.25
