[*] Running ACS optimization...
[*] Training with 30 students
[*] Trial 0: 15669.5
[*] Trial 1: 15669.5
[*] Trial 2: 15669.5
[*] Trial 3: 15669.5
[*] Trial 4: 15669.5
[*] Trial 5: 15669.5
[*] Trial 6: 15669.5
[*] Trial 7: 15669.5
[*] Trial 8: 15669.5
[*] Trial 9: 15669.5
[*] Trial 10: 15669.5
[*] Trial 11: 15669.5
[*] Trial 12: 15669.5
[*] Trial 13: 15669.5
[*] Trial 14: 15669.5
[*] Trial 15: 15669.5
[*] Trial 16: 15669.5
[*] Trial 17: 15669.5
[*] Trial 18: 15669.5
[*] Trial 19: 15669.5
[*] Trial 20: 15669.5
[*] Trial 21: 15669.5
[*] Trial 22: 15669.5
[*] Trial 23: 15669.5
[*] Trial 24: 15669.5
[*] Trial 25: 15669.5
[*] Trial 26: 15669.5
[*] Trial 27: 15669.5
[*] Trial 28: 15669.5
[*] Trial 29: 15669.5
[*] Trial 30: 15669.5
[*] Trial 31: 15669.5
[*] Trial 32: 15669.5
[*] Trial 33: 15669.5
[*] Trial 34: 15669.5
[*] Trial 35: 15669.5
[*] Trial 36: 15669.5
[*] Trial 37: 15669.5
[*] Trial 38: 15669.5
[*] Trial 39: 15669.5
[*] Trial 40: 15669.5
[*] Trial 41: 15669.5
[*] Trial 42: 15669.5
[*] Trial 43: 15669.5
[*] Trial 44: 15669.5
[*] Trial 45: 15669.5
[*] Trial 46: 15669.5
[*] Trial 47: 15669.5
[*] Trial 48: 15669.5
[*] Trial 49: 15669.5
[*] min objective value:
15669.5
