[*] Running ACS optimization...
[*] Training with 30 students
[*] Trial 0: 16694.9375
[*] Trial 1: 5691.6875
[*] Trial 2: 5691.6875
[*] Trial 3: 5691.6875
[*] Trial 4: 5691.6875
[*] Trial 5: 5691.6875
[*] Trial 6: 5691.6875
[*] Trial 7: 5691.6875
[*] Trial 8: 5687.9375
[*] Trial 9: 5678.0625
[*] Trial 10: 4664.25
[*] Trial 11: 3670.875
[*] Trial 12: 3670.875
[*] Trial 13: 3663.25
[*] Trial 14: 3657.6875
[*] Trial 15: 3654.0625
[*] Trial 16: 3653.125
[*] Trial 17: 3650.375
[*] Trial 18: 3648.0625
[*] Trial 19: 3646.9375
[*] Trial 20: 3646.9375
[*] Trial 21: 3646.1875
[*] Trial 22: 3646.0
[*] Trial 23: 3646.0
[*] Trial 24: 3645.5
[*] Trial 25: 2640.4375
[*] Trial 26: 2640.4375
[*] Trial 27: 2640.4375
[*] Trial 28: 2639.6875
[*] Trial 29: 2639.6875
[*] Trial 30: 2639.6875
[*] Trial 31: 2639.6875
[*] Trial 32: 2639.6875
[*] Trial 33: 2639.6875
[*] Trial 34: 2638.6875
[*] Trial 35: 2638.6875
[*] Trial 36: 2638.6875
[*] Trial 37: 2638.6875
[*] Trial 38: 2638.6875
[*] Trial 39: 2638.6875
[*] Trial 40: 2636.125
[*] Trial 41: 1639.375
[*] Trial 42: 1639.375
[*] Trial 43: 1635.75
[*] Trial 44: 1635.75
[*] Trial 45: 1635.75
[*] Trial 46: 1630.9375
[*] Trial 47: 1630.9375
[*] Trial 48: 1630.9375
[*] Trial 49: 1630.9375
[*] min objective value:
1630.9375
