[*] Running ACS optimization...
[*] Training with 30 students
[*] Trial 0: 15690.0
[*] Trial 1: 15690.0
[*] Trial 2: 5688.375
[*] Trial 3: 4684.125
[*] Trial 4: 3686.75
[*] Trial 5: 3670.0
[*] Trial 6: 2672.125
[*] Trial 7: 2667.8125
[*] Trial 8: 2666.375
[*] Trial 9: 2665.4375
[*] Trial 10: 2665.4375
[*] Trial 11: 2665.4375
[*] Trial 12: 2665.4375
[*] Trial 13: 2665.4375
[*] Trial 14: 2665.1875
[*] Trial 15: 2665.1875
[*] Trial 16: 2665.1875
[*] Trial 17: 2665.1875
[*] Trial 18: 2665.1875
[*] Trial 19: 2665.1875
[*] Trial 20: 2665.1875
[*] Trial 21: 2665.1875
[*] Trial 22: 2665.1875
[*] Trial 23: 2665.1875
[*] Trial 24: 2665.1875
[*] Trial 25: 2665.1875
[*] Trial 26: 2665.1875
[*] Trial 27: 2665.1875
[*] Trial 28: 2665.1875
[*] Trial 29: 2665.1875
[*] Trial 30: 2665.1875
[*] Trial 31: 2665.1875
[*] Trial 32: 2665.1875
[*] Trial 33: 2665.1875
[*] Trial 34: 2665.1875
[*] Trial 35: 2665.1875
[*] Trial 36: 2665.1875
[*] Trial 37: 2665.1875
[*] Trial 38: 2665.1875
[*] Trial 39: 2665.1875
[*] Trial 40: 2665.1875
[*] Trial 41: 2665.1875
[*] Trial 42: 2665.1875
[*] Trial 43: 2665.1875
[*] Trial 44: 2665.1875
[*] Trial 45: 2665.1875
[*] Trial 46: 2665.1875
[*] Trial 47: 2665.1875
[*] Trial 48: 2665.1875
[*] Trial 49: 2665.1875
[*] min objective value:
2665.1875
