[*] Running ACS optimization...
[*] Training with 30 students
[*] Trial 0: 14686.875
[*] Trial 1: 8691.5625
[*] Trial 2: 8691.5625
[*] Trial 3: 8691.5625
[*] Trial 4: 5683.6875
[*] Trial 5: 5681.0
[*] Trial 6: 5681.0
[*] Trial 7: 5681.0
[*] Trial 8: 5680.0
[*] Trial 9: 5671.25
[*] Trial 10: 2674.375
[*] Trial 11: 2674.375
[*] Trial 12: 2667.3125
[*] Trial 13: 2667.125
[*] Trial 14: 2667.125
[*] Trial 15: 2667.125
[*] Trial 16: 2667.125
[*] Trial 17: 2667.125
[*] Trial 18: 2662.4375
[*] Trial 19: 2662.4375
[*] Trial 20: 2662.4375
[*] Trial 21: 2662.4375
[*] Trial 22: 2662.4375
[*] Trial 23: 2662.4375
[*] Trial 24: 2653.625
[*] Trial 25: 2653.625
[*] Trial 26: 2653.625
[*] Trial 27: 2653.625
[*] Trial 28: 2653.625
[*] Trial 29: 2650.3125
[*] Trial 30: 1652.4375
[*] Trial 31: 1652.4375
[*] Trial 32: 1652.4375
[*] Trial 33: 1652.4375
[*] Trial 34: 1652.4375
[*] Trial 35: 1652.4375
[*] Trial 36: 1652.4375
[*] Trial 37: 1652.4375
[*] Trial 38: 1651.0
[*] Trial 39: 1644.5
[*] Trial 40: 1644.5
[*] Trial 41: 1644.5
[*] Trial 42: 634.125
[*] Trial 43: 634.125
[*] Trial 44: 634.125
[*] Trial 45: 634.125
[*] Trial 46: 634.125
[*] Trial 47: 634.125
[*] Trial 48: 634.125
[*] Trial 49: 634.125
[*] min objective value:
634.125
