[*] Running ACS optimization...
[*] Training with 30 students
[*] Trial 0: 25683.3125
[*] Trial 1: 4687.4375
[*] Trial 2: 4687.4375
[*] Trial 3: 4687.4375
[*] Trial 4: 4687.4375
[*] Trial 5: 4687.4375
[*] Trial 6: 4687.4375
[*] Trial 7: 4687.4375
[*] Trial 8: 4687.4375
[*] Trial 9: 1663.6875
[*] Trial 10: 1663.6875
[*] Trial 11: 1663.6875
[*] Trial 12: 1663.6875
[*] Trial 13: 1663.6875
[*] Trial 14: 1663.6875
[*] Trial 15: 1663.6875
[*] Trial 16: 1663.6875
[*] Trial 17: 1663.6875
[*] Trial 18: 1663.6875
[*] Trial 19: 1663.6875
[*] Trial 20: 1663.6875
[*] Trial 21: 1663.6875
[*] Trial 22: 1663.6875
[*] Trial 23: 1663.6875
[*] Trial 24: 1663.6875
[*] Trial 25: 1663.6875
[*] Trial 26: 1663.6875
[*] Trial 27: 1663.6875
[*] Trial 28: 1663.6875
[*] Trial 29: 1663.6875
[*] Trial 30: 1663.6875
[*] Trial 31: 1663.6875
[*] Trial 32: 1663.6875
[*] Trial 33: 1663.6875
[*] Trial 34: 1663.6875
[*] Trial 35: 1663.6875
[*] Trial 36: 1663.6875
[*] Trial 37: 1663.6875
[*] Trial 38: 1663.6875
[*] Trial 39: 1663.6875
[*] Trial 40: 1663.6875
[*] Trial 41: 1663.6875
[*] Trial 42: 1663.6875
[*] Trial 43: 1663.6875
[*] Trial 44: 1663.6875
[*] Trial 45: 1663.6875
[*] Trial 46: 1663.6875
[*] Trial 47: 1663.6875
[*] Trial 48: 1663.6875
[*] Trial 49: 1663.6875
[*] min objective value:
1663.6875
