[*] Running ACS optimization...
[*] Training with 30 students
[*] Trial 0: 18687.4375
[*] Trial 1: 10712.25
[*] Trial 2: 7693.0625
[*] Trial 3: 7693.0625
[*] Trial 4: 7693.0625
[*] Trial 5: 7689.0625
[*] Trial 6: 5686.6875
[*] Trial 7: 5686.6875
[*] Trial 8: 5678.0625
[*] Trial 9: 5666.75
[*] Trial 10: 5662.375
[*] Trial 11: 5659.0625
[*] Trial 12: 5657.5
[*] Trial 13: 5657.5
[*] Trial 14: 5657.5
[*] Trial 15: 5657.5
[*] Trial 16: 5657.5
[*] Trial 17: 5657.5
[*] Trial 18: 5657.5
[*] Trial 19: 5657.5
[*] Trial 20: 4679.5
[*] Trial 21: 4679.5
[*] Trial 22: 4679.5
[*] Trial 23: 4679.5
[*] Trial 24: 4679.5
[*] Trial 25: 4679.5
[*] Trial 26: 4679.5
[*] Trial 27: 4679.5
[*] Trial 28: 4679.5
[*] Trial 29: 4679.5
[*] Trial 30: 4676.25
[*] Trial 31: 4676.25
[*] Trial 32: 4676.25
[*] Trial 33: 3665.375
[*] Trial 34: 3665.375
[*] Trial 35: 3665.375
[*] Trial 36: 3665.375
[*] Trial 37: 3665.375
[*] Trial 38: 3665.375
[*] Trial 39: 3665.375
[*] Trial 40: 3665.375
[*] Trial 41: 3665.375
[*] Trial 42: 3665.375
[*] Trial 43: 3665.375
[*] Trial 44: 3665.375
[*] Trial 45: 3665.375
[*] Trial 46: 3665.375
[*] Trial 47: 3665.375
[*] Trial 48: 3665.375
[*] Trial 49: 3665.375
[*] min objective value:
3665.375
