[*] Running ACS optimization...
[*] Training with 30 students
[*] Trial 0: 24675.625
[*] Trial 1: 4671.4375
[*] Trial 2: 4671.4375
[*] Trial 3: 4671.4375
[*] Trial 4: 4671.4375
[*] Trial 5: 4671.4375
[*] Trial 6: 4671.4375
[*] Trial 7: 4671.4375
[*] Trial 8: 4671.4375
[*] Trial 9: 4671.4375
[*] Trial 10: 4671.4375
[*] Trial 11: 3681.375
[*] Trial 12: 3681.375
[*] Trial 13: 3681.375
[*] Trial 14: 3681.375
[*] Trial 15: 3681.375
[*] Trial 16: 3681.375
[*] Trial 17: 3681.375
[*] Trial 18: 3681.375
[*] Trial 19: 3681.375
[*] Trial 20: 3681.375
[*] Trial 21: 3681.375
[*] Trial 22: 3681.375
[*] Trial 23: 3681.375
[*] Trial 24: 3681.375
[*] Trial 25: 3681.375
[*] Trial 26: 3681.375
[*] Trial 27: 3681.375
[*] Trial 28: 3681.375
[*] Trial 29: 3681.375
[*] Trial 30: 3681.375
[*] Trial 31: 3681.375
[*] Trial 32: 3681.375
[*] Trial 33: 3681.375
[*] Trial 34: 3681.375
[*] Trial 35: 3681.375
[*] Trial 36: 3681.375
[*] Trial 37: 3681.375
[*] Trial 38: 3681.375
[*] Trial 39: 3681.375
[*] Trial 40: 3681.375
[*] Trial 41: 3681.375
[*] Trial 42: 3681.375
[*] Trial 43: 3681.375
[*] Trial 44: 3681.375
[*] Trial 45: 3681.375
[*] Trial 46: 3681.375
[*] Trial 47: 3681.375
[*] Trial 48: 3681.375
[*] Trial 49: 3663.8125
[*] min objective value:
3663.8125
