[*] Running ACS optimization...
[*] Training with 30 students
[*] Trial 0: 3665.6875
[*] Trial 1: 3665.6875
[*] Trial 2: 3665.6875
[*] Trial 3: 3665.6875
[*] Trial 4: 3665.6875
[*] Trial 5: 3665.6875
[*] Trial 6: 3665.6875
[*] Trial 7: 3661.625
[*] Trial 8: 3661.625
[*] Trial 9: 3661.625
[*] Trial 10: 3661.625
[*] Trial 11: 3661.625
[*] Trial 12: 3661.25
[*] Trial 13: 3659.3125
[*] Trial 14: 3659.3125
[*] Trial 15: 3659.3125
[*] Trial 16: 3659.3125
[*] Trial 17: 3659.3125
[*] Trial 18: 3659.3125
[*] Trial 19: 3659.3125
[*] Trial 20: 3659.3125
[*] Trial 21: 3658.75
[*] Trial 22: 3658.75
[*] Trial 23: 3658.75
[*] Trial 24: 3658.75
[*] Trial 25: 2654.0
[*] Trial 26: 2652.125
[*] Trial 27: 2652.125
[*] Trial 28: 2649.5625
[*] Trial 29: 2649.5625
[*] Trial 30: 2649.5625
[*] Trial 31: 2649.5625
[*] Trial 32: 2649.5625
[*] Trial 33: 2649.5625
[*] Trial 34: 2649.5625
[*] Trial 35: 2648.875
[*] Trial 36: 2647.75
[*] Trial 37: 2647.75
[*] Trial 38: 2647.75
[*] Trial 39: 2647.75
[*] Trial 40: 2646.8125
[*] Trial 41: 2646.3125
[*] Trial 42: 2638.375
[*] Trial 43: 2636.1875
[*] Trial 44: 2636.1875
[*] Trial 45: 2636.1875
[*] Trial 46: 2636.1875
[*] Trial 47: 2636.1875
[*] Trial 48: 2636.1875
[*] Trial 49: 2636.1875
[*] min objective value:
2636.1875
