[*] Running ACS optimization...
[*] Training with 30 students
[*] Trial 0: 12663.6875
[*] Trial 1: 12659.8125
[*] Trial 2: 3668.5
[*] Trial 3: 3668.5
[*] Trial 4: 3668.5
[*] Trial 5: 3668.5
[*] Trial 6: 3668.5
[*] Trial 7: 3668.5
[*] Trial 8: 3668.5
[*] Trial 9: 2673.6875
[*] Trial 10: 2673.6875
[*] Trial 11: 2673.6875
[*] Trial 12: 2673.6875
[*] Trial 13: 2673.6875
[*] Trial 14: 2667.9375
[*] Trial 15: 2667.9375
[*] Trial 16: 2667.9375
[*] Trial 17: 2667.9375
[*] Trial 18: 2667.9375
[*] Trial 19: 2667.9375
[*] Trial 20: 2667.9375
[*] Trial 21: 2667.9375
[*] Trial 22: 2657.1875
[*] Trial 23: 2657.1875
[*] Trial 24: 2657.1875
[*] Trial 25: 2657.1875
[*] Trial 26: 2657.1875
[*] Trial 27: 2657.1875
[*] Trial 28: 2657.1875
[*] Trial 29: 2657.1875
[*] Trial 30: 2657.1875
[*] Trial 31: 2657.1875
[*] Trial 32: 2657.1875
[*] Trial 33: 2657.1875
[*] Trial 34: 2657.1875
[*] Trial 35: 2657.1875
[*] Trial 36: 2657.1875
[*] Trial 37: 2657.1875
[*] Trial 38: 2657.1875
[*] Trial 39: 2657.1875
[*] Trial 40: 2657.1875
[*] Trial 41: 2657.1875
[*] Trial 42: 2647.625
[*] Trial 43: 2647.625
[*] Trial 44: 2647.625
[*] Trial 45: 2647.625
[*] Trial 46: 2647.625
[*] Trial 47: 1651.125
[*] Trial 48: 1651.125
[*] Trial 49: 1651.125
[*] min objective value:
1651.125
