[*] Running ACS optimization...
[*] Training with 30 students
[*] Trial 0: 26679.5
[*] Trial 1: 15652.6875
[*] Trial 2: 15652.6875
[*] Trial 3: 13645.8125
[*] Trial 4: 7665.0
[*] Trial 5: 4658.0625
[*] Trial 6: 4658.0625
[*] Trial 7: 4649.125
[*] Trial 8: 4649.125
[*] Trial 9: 4649.125
[*] Trial 10: 3664.9375
[*] Trial 11: 2653.625
[*] Trial 12: 2653.625
[*] Trial 13: 1651.5625
[*] Trial 14: 1649.8125
[*] Trial 15: 1648.75
[*] Trial 16: 1647.5625
[*] Trial 17: 1647.1875
[*] Trial 18: 1647.1875
[*] Trial 19: 640.625
[*] Trial 20: 639.0625
[*] Trial 21: 639.0625
[*] Trial 22: 635.875
[*] Trial 23: 635.875
[*] Trial 24: 633.6875
[*] Trial 25: 633.6875
[*] Trial 26: 633.6875
[*] Trial 27: 630.8125
[*] Trial 28: 630.8125
[*] Trial 29: 630.8125
[*] Trial 30: 630.8125
[*] Trial 31: 630.8125
[*] Trial 32: 630.8125
[*] Trial 33: 630.8125
[*] Trial 34: 630.8125
[*] Trial 35: 630.8125
[*] Trial 36: 630.8125
[*] Trial 37: 630.8125
[*] Trial 38: 630.8125
[*] Trial 39: 630.8125
[*] Trial 40: 630.8125
[*] Trial 41: 630.8125
[*] Trial 42: 630.8125
[*] Trial 43: 630.8125
[*] Trial 44: 630.8125
[*] Trial 45: 630.8125
[*] Trial 46: 630.8125
[*] Trial 47: 630.8125
[*] Trial 48: 630.8125
[*] Trial 49: 630.8125
[*] min objective value:
630.8125
