[*] Running ACS optimization...
[*] Training with 30 students
[*] Trial 0: 14664.375
[*] Trial 1: 14664.375
[*] Trial 2: 6647.9375
[*] Trial 3: 6647.9375
[*] Trial 4: 6647.9375
[*] Trial 5: 6647.9375
[*] Trial 6: 4670.6875
[*] Trial 7: 3663.0625
[*] Trial 8: 3663.0625
[*] Trial 9: 3663.0625
[*] Trial 10: 3656.3125
[*] Trial 11: 3656.3125
[*] Trial 12: 3656.3125
[*] Trial 13: 3656.3125
[*] Trial 14: 3656.3125
[*] Trial 15: 3656.3125
[*] Trial 16: 3656.3125
[*] Trial 17: 3656.3125
[*] Trial 18: 3656.3125
[*] Trial 19: 3654.5625
[*] Trial 20: 3654.5625
[*] Trial 21: 3654.5625
[*] Trial 22: 3654.5625
[*] Trial 23: 3654.5625
[*] Trial 24: 3654.5625
[*] Trial 25: 3654.5625
[*] Trial 26: 3654.0625
[*] Trial 27: 3654.0625
[*] Trial 28: 3654.0625
[*] Trial 29: 2647.3125
[*] Trial 30: 2647.3125
[*] Trial 31: 2647.3125
[*] Trial 32: 2647.3125
[*] Trial 33: 1651.0
[*] Trial 34: 1651.0
[*] Trial 35: 1651.0
[*] Trial 36: 1651.0
[*] Trial 37: 1651.0
[*] Trial 38: 1650.5
[*] Trial 39: 1650.5
[*] Trial 40: 1650.5
[*] Trial 41: 1650.5
[*] Trial 42: 1650.5
[*] Trial 43: 659.625
[*] Trial 44: 659.625
[*] Trial 45: 659.625
[*] Trial 46: 659.625
[*] Trial 47: 659.625
[*] Trial 48: 659.625
[*] Trial 49: 659.625
[*] min objective value:
659.625
