[*] Running ACS optimization...
[*] Training with 30 students
[*] Trial 0: 14643.25
[*] Trial 1: 7692.5
[*] Trial 2: 7692.5
[*] Trial 3: 6692.875
[*] Trial 4: 6692.875
[*] Trial 5: 6692.875
[*] Trial 6: 6671.5625
[*] Trial 7: 4684.3125
[*] Trial 8: 4684.3125
[*] Trial 9: 4679.875
[*] Trial 10: 4679.875
[*] Trial 11: 4679.875
[*] Trial 12: 4679.875
[*] Trial 13: 4679.875
[*] Trial 14: 4679.875
[*] Trial 15: 4676.6875
[*] Trial 16: 4676.6875
[*] Trial 17: 3661.9375
[*] Trial 18: 3661.9375
[*] Trial 19: 2660.875
[*] Trial 20: 1654.3125
[*] Trial 21: 1654.3125
[*] Trial 22: 1654.3125
[*] Trial 23: 653.25
[*] Trial 24: 647.0
[*] Trial 25: 642.375
[*] Trial 26: 636.0
[*] Trial 27: 634.25
[*] Trial 28: 629.625
[*] Trial 29: 629.625
[*] Trial 30: 627.125
[*] Trial 31: 624.75
[*] Trial 32: 621.625
[*] Trial 33: 620.8125
[*] Trial 34: 619.25
[*] Trial 35: 617.4375
[*] Trial 36: 617.1875
[*] Trial 37: 615.9375
[*] Trial 38: 615.5
[*] Trial 39: 614.6875
[*] Trial 40: 614.6875
[*] Trial 41: 614.5
[*] Trial 42: 614.5
[*] Trial 43: 614.5
[*] Trial 44: 614.5
[*] Trial 45: 614.25
[*] Trial 46: 614.25
[*] Trial 47: 614.25
[*] Trial 48: 614.25
[*] Trial 49: 614.25
[*] min objective value:
614.25
