[*] Running ACS optimization...
[*] Training with 30 students
[*] Trial 0: 27660.5
[*] Trial 1: 14677.625
[*] Trial 2: 14677.625
[*] Trial 3: 6673.0
[*] Trial 4: 6673.0
[*] Trial 5: 6673.0
[*] Trial 6: 5677.0
[*] Trial 7: 5677.0
[*] Trial 8: 5677.0
[*] Trial 9: 4680.9375
[*] Trial 10: 4676.375
[*] Trial 11: 4670.6875
[*] Trial 12: 4670.3125
[*] Trial 13: 4670.3125
[*] Trial 14: 4668.8125
[*] Trial 15: 4668.8125
[*] Trial 16: 4668.8125
[*] Trial 17: 4668.8125
[*] Trial 18: 4665.875
[*] Trial 19: 4663.0625
[*] Trial 20: 4663.0625
[*] Trial 21: 4658.125
[*] Trial 22: 4652.875
[*] Trial 23: 4652.875
[*] Trial 24: 4652.875
[*] Trial 25: 4652.875
[*] Trial 26: 4652.875
[*] Trial 27: 3669.75
[*] Trial 28: 3669.75
[*] Trial 29: 3669.75
[*] Trial 30: 3669.75
[*] Trial 31: 3669.75
[*] Trial 32: 3669.75
[*] Trial 33: 3669.75
[*] Trial 34: 3669.75
[*] Trial 35: 3669.75
[*] Trial 36: 3669.75
[*] Trial 37: 3669.75
[*] Trial 38: 3669.75
[*] Trial 39: 3669.75
[*] Trial 40: 3669.75
[*] Trial 41: 3669.75
[*] Trial 42: 3669.75
[*] Trial 43: 3669.75
[*] Trial 44: 3669.75
[*] Trial 45: 3669.75
[*] Trial 46: 3669.75
[*] Trial 47: 3669.75
[*] Trial 48: 3669.75
[*] Trial 49: 3669.75
[*] min objective value:
3669.75
