[*] Running ACS optimization...
[*] Training with 30 students
[*] Trial 0: 28659.9375
[*] Trial 1: 27658.875
[*] Trial 2: 18653.5625
[*] Trial 3: 18652.1875
[*] Trial 4: 8654.25
[*] Trial 5: 7657.375
[*] Trial 6: 4655.8125
[*] Trial 7: 4655.8125
[*] Trial 8: 4655.8125
[*] Trial 9: 4655.8125
[*] Trial 10: 4655.8125
[*] Trial 11: 4655.5625
[*] Trial 12: 4655.5625
[*] Trial 13: 4655.5625
[*] Trial 14: 4655.0
[*] Trial 15: 4655.0
[*] Trial 16: 4655.0
[*] Trial 17: 4655.0
[*] Trial 18: 4655.0
[*] Trial 19: 4655.0
[*] Trial 20: 4655.0
[*] Trial 21: 4655.0
[*] Trial 22: 4655.0
[*] Trial 23: 4655.0
[*] Trial 24: 4655.0
[*] Trial 25: 4655.0
[*] Trial 26: 4655.0
[*] Trial 27: 4654.5
[*] Trial 28: 4653.4375
[*] Trial 29: 4653.4375
[*] Trial 30: 4653.0
[*] Trial 31: 4653.0
[*] Trial 32: 4653.0
[*] Trial 33: 4652.125
[*] Trial 34: 4649.1875
[*] Trial 35: 4647.1875
[*] Trial 36: 4647.1875
[*] Trial 37: 4647.1875
[*] Trial 38: 4647.1875
[*] Trial 39: 4647.1875
[*] Trial 40: 4647.1875
[*] Trial 41: 4647.0625
[*] Trial 42: 4647.0625
[*] Trial 43: 4647.0625
[*] Trial 44: 4647.0625
[*] Trial 45: 4647.0625
[*] Trial 46: 4647.0625
[*] Trial 47: 4647.0625
[*] Trial 48: 4647.0625
[*] Trial 49: 4647.0625
[*] min objective value:
4647.0625
