[*] Running ACS optimization...
[*] Training with 30 students
[*] Trial 0: 34679.1875
[*] Trial 1: 13657.625
[*] Trial 2: 13657.625
[*] Trial 3: 13657.625
[*] Trial 4: 13648.5
[*] Trial 5: 13648.5
[*] Trial 6: 12638.125
[*] Trial 7: 12638.125
[*] Trial 8: 12638.125
[*] Trial 9: 12635.125
[*] Trial 10: 12635.125
[*] Trial 11: 12630.125
[*] Trial 12: 12630.125
[*] Trial 13: 12630.125
[*] Trial 14: 12630.125
[*] Trial 15: 12630.125
[*] Trial 16: 12630.125
[*] Trial 17: 12630.125
[*] Trial 18: 12630.125
[*] Trial 19: 12628.25
[*] Trial 20: 12628.25
[*] Trial 21: 12628.25
[*] Trial 22: 12628.25
[*] Trial 23: 12628.25
[*] Trial 24: 12628.25
[*] Trial 25: 12628.25
[*] Trial 26: 12628.25
[*] Trial 27: 12628.25
[*] Trial 28: 12628.25
[*] Trial 29: 1618.8125
[*] Trial 30: 1618.8125
[*] Trial 31: 1618.8125
[*] Trial 32: 1618.8125
[*] Trial 33: 1618.8125
[*] Trial 34: 1618.8125
[*] Trial 35: 1618.8125
[*] Trial 36: 1618.8125
[*] Trial 37: 1618.8125
[*] Trial 38: 1618.8125
[*] Trial 39: 1618.8125
[*] Trial 40: 1618.8125
[*] Trial 41: 1618.8125
[*] Trial 42: 1618.8125
[*] Trial 43: 1618.8125
[*] Trial 44: 1618.8125
[*] Trial 45: 1618.8125
[*] Trial 46: 1618.8125
[*] Trial 47: 1618.8125
[*] Trial 48: 1618.8125
[*] Trial 49: 1618.8125
[*] min objective value:
1618.8125
