[*] Running ACS optimization...
[*] Training with 30 students
[*] Trial 0: 19684.0625
[*] Trial 1: 5669.75
[*] Trial 2: 5669.75
[*] Trial 3: 5669.75
[*] Trial 4: 5669.75
[*] Trial 5: 5669.75
[*] Trial 6: 5669.75
[*] Trial 7: 3665.375
[*] Trial 8: 3665.375
[*] Trial 9: 3665.375
[*] Trial 10: 3665.375
[*] Trial 11: 3665.375
[*] Trial 12: 3665.375
[*] Trial 13: 3665.375
[*] Trial 14: 3665.375
[*] Trial 15: 3665.375
[*] Trial 16: 3665.375
[*] Trial 17: 3665.375
[*] Trial 18: 3665.375
[*] Trial 19: 3665.375
[*] Trial 20: 3665.375
[*] Trial 21: 3665.375
[*] Trial 22: 3665.375
[*] Trial 23: 3665.375
[*] Trial 24: 3665.375
[*] Trial 25: 3665.375
[*] Trial 26: 3665.375
[*] Trial 27: 3665.375
[*] Trial 28: 3665.375
[*] Trial 29: 3665.375
[*] Trial 30: 3665.375
[*] Trial 31: 3665.375
[*] Trial 32: 3665.375
[*] Trial 33: 3665.375
[*] Trial 34: 3665.375
[*] Trial 35: 3665.375
[*] Trial 36: 3665.375
[*] Trial 37: 3663.75
[*] Trial 38: 3663.75
[*] Trial 39: 3663.75
[*] Trial 40: 3663.75
[*] Trial 41: 3652.0
[*] Trial 42: 3652.0
[*] Trial 43: 3652.0
[*] Trial 44: 3652.0
[*] Trial 45: 3650.4375
[*] Trial 46: 3648.25
[*] Trial 47: 3639.875
[*] Trial 48: 3633.75
[*] Trial 49: 3626.625
[*] min objective value:
3626.625
