[*] Running ACS optimization...
[*] Training with 30 students
[*] Trial 0: 4659.0
[*] Trial 1: 4659.0
[*] Trial 2: 4658.375
[*] Trial 3: 4658.375
[*] Trial 4: 4658.375
[*] Trial 5: 4658.375
[*] Trial 6: 3657.0625
[*] Trial 7: 3653.25
[*] Trial 8: 3653.25
[*] Trial 9: 2644.5625
[*] Trial 10: 2637.4375
[*] Trial 11: 2637.375
[*] Trial 12: 2637.375
[*] Trial 13: 2629.1875
[*] Trial 14: 2628.6875
[*] Trial 15: 2628.6875
[*] Trial 16: 2628.6875
[*] Trial 17: 2625.9375
[*] Trial 18: 2625.9375
[*] Trial 19: 2625.9375
[*] Trial 20: 2625.3125
[*] Trial 21: 2625.3125
[*] Trial 22: 2625.3125
[*] Trial 23: 2625.3125
[*] Trial 24: 2625.3125
[*] Trial 25: 2625.3125
[*] Trial 26: 2625.3125
[*] Trial 27: 2625.3125
[*] Trial 28: 2625.3125
[*] Trial 29: 2625.3125
[*] Trial 30: 2625.3125
[*] Trial 31: 2625.3125
[*] Trial 32: 2625.3125
[*] Trial 33: 2625.3125
[*] Trial 34: 2625.3125
[*] Trial 35: 2625.3125
[*] Trial 36: 2625.3125
[*] Trial 37: 2625.3125
[*] Trial 38: 2625.3125
[*] Trial 39: 2625.3125
[*] Trial 40: 2625.3125
[*] Trial 41: 2625.3125
[*] Trial 42: 2625.3125
[*] Trial 43: 2625.3125
[*] Trial 44: 2625.3125
[*] Trial 45: 2625.3125
[*] Trial 46: 2625.3125
[*] Trial 47: 2625.3125
[*] Trial 48: 2625.3125
[*] Trial 49: 2625.3125
[*] min objective value:
2625.3125
